ko_ingredient,en_ingredient,use,score
해바라기꽃추출물,Helianthus Annuus (Sunflower) Flower Extract,피부컨디셔닝제(기타),
테트라메틸헥사페닐테트라실록세인,Tetramethyl Hexaphenyl Tetrasiloxane,피부컨디셔닝제(기타),1.0
전복추출물,Abalone extract,피부컨디셔닝제(기타),
알루미늄스테아로일글루타메이트,Aluminum Stearoyl Glutamate,,
용설란줄기추출물,Agave Americana Stem Extract,피부컨디셔닝제(기타),1.0
조슈아나무뿌리추출물,Yucca Brevifolia Root Extract,피부컨디셔닝제,1.0
캔들우드줄기추출물,Fouqueria Splendens Stem Extract,피부컨디셔닝제,
크레오소트부시추출물,Larrea Tridentata Extract,피부컨디셔닝제,1.0
C12-22알킬아크릴레이트/하이드록시에틸아크릴레이트코폴리머,C12-22 Alkyl Acrylate/Hydroxyethylacrylate Copolymer,"결합제, 유화안정제, 점도증가제(비수성)",
산양삼전초추출물,Panax Ginseng Extract,"산화방지제, 피부컨디셔닝제(기타)",
센티드제라늄꽃수,Pelargonium Graveolens Flower Water,피부컨디셔닝제(기타),
레반,Levan,"피막형성제, 피부보호제, 점도증가제(수성)",1.0
하이드록시신나믹애씨드,Hydroxycinnamic Acid,피부컨디셔닝제(기타),2.0
니코티노일에스에이치-펜타펩타이드-19,Nicotinoyl sh-Pentapeptide-19,"헤어컨디셔닝제, 피부보호제, 피부컨디셔닝제(보습제)",
소듐타우린코코일메틸타우레이트,Sodium Taurine Cocoyl Methyltaurate,"계면활성제(세정제), 계면활성제(유화제)",
피이지-20솔비탄아이소스테아레이트,PEG-20 Sorbitan Isostearate,"계면활성제(세정제), 계면활성제(유화제), 계면활성제(용해보조제)",4.0
지렁이배양토추출물,Earthworm Conditioned Soil Extract,"보습제, 피부컨디셔닝제(유연제)",
굴피나무추출물,Platycarya Strobilacea Extract,피부컨디셔닝제(기타),
쌀배아가루,Oryza Sativa (Rice) Germ Powder,연마제,2.0
얌빈뿌리추출물,Pachyrhizus Erosus Root Extract,피부컨디셔닝제(기타),
황련뿌리줄기추출물,Coptis Japonica Rhizome Extract,피부컨디셔닝제(기타),1.0
에칠렌글라이콜,Ethylene Glycol;Glycol,"착향제, 보습제, 용제, 점도감소제",
갈로일노나펩타이드-11,Galloyl Nonapeptide-11,피부보호제,
하이드로플루오로카본134에이,Hydrofluorocarbon 134a,분사제,
말토바이오닉애씨드,Maltobionic Acid,pH 조절제,1.0
멘틸에틸아미도옥살레이트,Menthyl Ethylamido Oxalate,피부컨디셔닝제(기타),1.0
자몽즙,Citrus Paradisi (Grapefruit) Juice,피부컨디셔닝제(기타),2.0
울금뿌리가루,Curcuma Longa (Turmeric) Root Powder,,1.0
바질추출물,Ocimum Basilicum (Basil) Extract,"산화방지제, 헤어컨디셔닝제, 피부컨디셔닝제(보습제), 피부컨디셔닝제(기타)",
온천침전추출물,,,
소듐세스퀴카보네이트,Sodium Sesquicarbonate,pH 조정제,1.0
무이라푸아마껍질추출물,Ptychopetalum Olacoides Bark Extract,피부컨디셔닝제(기타),
글라우신,Glaucine,피부컨디셔닝제(기타),1.0
벼잎/줄기추출물,Oryza Sativa (Rice) Leaf/Stem Extract,피부컨디셔닝제(기타),
피이지-4다이헵타노에이트,PEG-4 Diheptanoate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",3.0
데센/부텐코폴리머,Decene/Butene Copolymer,점도증가제(비수성),
피이지/피피지-18/12다이메티콘,PEG/PPG-18/12 Dimethicone,계면활성제(유화제),
폴리쿼터늄-48,Polyquaternium-48,"정전기방지제, 피막형성제, 모발고정제",
하이드롤라이즈드감자단백질,Hydrolyzed Potato Protein,"모발컨디셔닝제, 피부컨디셔닝제",1.0
트라이-C12-13알킬시트레이트,Tri-C12-13 Alkyl Citrate,피부컨디셔닝제(유연제),1.0
흰소나무솔방울추출물,Pinus Strobus Cone Extract,착향제,
클로트라이마졸,Clotrimazole,,2.0
피피지-10-부테스-9,PPG-10-Buteth-9,"착향제, 헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(유화제)",
글로불라리아 코르디폴리아캘러스배양추출물,Globularia Cordifolia Callus Culture Extract,피부컨디셔닝제(기타),
아이소보닐아크릴레이트,Isobornyl Acrylate,,5.0
피피지-10글리세릴에터,PPG-10 Glyceryl Ether,"용제, 계면활성제(유화제)",
카카오잎세포추출물,Theobroma Cacao (Cocoa) Leaf Cell Extract,"감미제, 착향제, 피부보호제",
감꼭지추출물,Diospyros Kaki Calyx Extract,"산화방지제, 피부컨디셔닝제(보습제)",1.0
C20-24알킬다이메티콘,C20-24 Alkyl Dimethicone,"피부컨디셔닝제(수분차단제), 점도증가제(비수성)",1.0
쌀수,Oryza Sativa (Rice) Seed Water,"산화방지제, 헤어컨디셔닝제, 피부컨디셔닝제(기타)",
피이지-16마카다미아글리세라이즈,PEG-16 Macadamia Glycerides,"피부컨디셔닝제(유연제), 계면활성제(유화제)",3.0
삼색제비꽃/잎/줄기수,Viola Tricolor Flower/Leaf/Stem Water,착향제,
연꽃꽃오일,Nelumbium Speciosum Flower Oil,피부컨디셔닝제(기타),
폴리글리세릴-5폴리리시놀리에이트,Polyglyceryl-5 Polyricinoleate,"계면활성제(유화제), 점도증가제(비수성)",1.0
알에이치-폴리펩타이드-3,rh-Polypeptide-3,피부컨디셔닝제(기타),
베르가모트열매수,Citrus Aurantium Bergamia (Bergamot) Fruit Water,피부컨디셔닝제(기타),1.0
꽃생강꽃/잎/줄기추출물,Hedychium Coronarium Flower/Leaf/Stem Extract,피부컨디셔닝제(기타),
헵틸글루코사이드,Heptyl Glucoside,"계면활성제(친수제), 계면활성제(용해보조제)",1.0
푸코잔틴,Fucoxanthin,피부컨디셔닝제(기타),
코토니추출물,Kappaphycus Alvarezii Extract,피부컨디셔닝제(기타),1.0
알로에잎즙,Aloe Arborescens Leaf Juice,피부컨디셔닝제(기타),
튜나카도나꽃추출물,Opuntia Streptacantha Flower Extract,피부컨디셔닝제(유연제),
대추야자열매추출물,Phoenix Dactylifera (Date) Fruit Extract,피부컨디셔닝제(기타),1.0
피이지-15하이드록시스테아레이트,PEG-15 Hydroxystearate,계면활성제(유화제),3.0
바닐라열매수,Vanilla Planifolia Fruit Water,피부컨디셔닝제,
키드니베치꽃추출물,Anthyllis Vulneraria Flower Extract,피부컨디셔닝제(기타),
하이드록시엑토인,Hydroxyectoin,"완충화제, 피부컨디셔닝제(유연제)",1.0
보트리티스발효추출여과물,Botrytis Ferment Extract Filtrate,"산화방지제, 피부컨디셔닝제(기타)",
실베스트리스꽃담배잎세포배양물,Nicotiana Sylvestris Leaf Cell Culture,피부컨디셔닝제(기타),
폴리시포니아 라노사추출물,Polysiphonia Lanosa Extract,피부컨디셔닝제(기타),1.0
라즈베리잎세포배양물,Rubus Idaeus Leaf Cell Culture,피부컨디셔닝제(기타),
클라미도모나스추출물,Chlamydomonas Extract,피부컨디셔닝제(기타),
스피드웰잎추출물,Veronica Officinalis Leaf Extract,피부컨디셔닝제(기타),
에스에이치-폴리펩타이드-16,sh-Polypeptide-16,피부보호제,
에스에이치-폴리펩타이드-4,sh-Polypeptide-4,"산화방지제, 헤어컨디셔닝제, 피부컨디셔닝제(기타)",
수레국화꽃,Centaurea Cyanus Flower,,
모로칸카모마일꽃수,Ormenis Mixta Flower Water,피부컨디셔닝제(보습제),
감초전초추출물,Glycyrrhiza Uralensis (Licorice) Extract,피부컨디셔닝제(유연제),
타히보잎추출물,Tabebuia Impetiginosa Leaf Extract,피부컨디셔닝제(기타),
이탈리안파슬리잎오일,Petroselinum Crispum (Parsley) Leaf Oil,착향제,
브로콜리수,Brassica Oleracea Italica (Broccoli) Water,피부보호제,
소듐카세이네이트,Sodium Caseinate,"모발컨디셔닝제, 피부컨디셔닝제",1.0
다이메틸엠이에이,Dimethyl MEA,pH 조정제,3.0
금낭화꽃추출물,Dicentra Spectabilis Flower Extract,피부컨디셔닝제(기타),
블루오키드추출물,Vanda Coerulea Extract,산화방지제,
사과껍질추출물,Pyrus Malus (Apple) Peel Extract,산화방지제,
사향장미잎추출물,Rosa Moschata Leaf Extract,수렴제,
약작약뿌리추출물,Paeonia Officinalis Root Extract,피부컨디셔닝제(기타),1.0
소듐폴리아크릴레이트크로스폴리머-1,Sodium Polyacrylate Crosspolymer-1,"피막형성제, 피부컨디셔닝제(유연제)",
알로에 세쿤디플로라펄프,,,
사상자추출물,Torilis Japonica Extract,"산화방지제, 수렴제, 피부컨디셔닝제(유연제)",
아마열매껍질추출물,Linum Usitatissimum (Linseed) Hull Extract,피부컨디셔닝제(기타),
스콧티슬꽃/잎/줄기추출물,Onopordum Acanthium Flower/Leaf/Stem Extract,피부컨디셔닝제(기타),
락토바실러스/루이보스잎발효추출물,Lactobacillus/Aspalathus Linearis Leaf Ferment Extract,피부컨디셔닝제(기타),
코훈야자씨오일,Orbignya Cohune Seed Oil,"헤어컨디셔닝제, 피부컨디셔닝제(수분차단제)",1.0
락토바실러스/녹차발효여과물,,,
아라비안자스민꽃추출물,Jasminum Sambac (Jasmine) Flower Extract,착향제,
트라이메틸실록시실릴카바모일풀루란,Trimethylsiloxysilylcarbamoyl Pullulan,"피막형성제, 모발고정제",1.0
메밀싹추출물,Polygonum Fagopyrum (Buckwheat) Sprout Extract,"산화방지제, 수렴제, 피부컨디셔닝제(기타)",
알로에베라잎/수크로오스발효여과물,Aloe Barbadensis Leaf/Sucrose Ferment Filtrate,산화방지제,
헥사메틸인다노피란,Hexamethylindanopyran,착향제,
아니스알데하이드,Anisaldehyde,착향제,2.0
글루코닉애씨드,Gluconic Acid,착향제,1.0
태움·용융소금,,,
토르말린추출물,Tourmaline Extract,피부컨디셔닝제(기타),
락토바실러스/말지방발효물,,,
아미노에틸아미노프로필다이메티콘,Aminoethylaminopropyl Dimethicone,안티케이킹제,
수용성엘라스틴,Soluble Elastin,피부컨디셔닝제(기타),
아크릴로나이트릴/메틸메타크릴레이트/비닐리덴클로라이드코폴리머,Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer,미끄럼조정제/활택제,
동백나무추출물,Camellia Japonica Extract,피부컨디셔닝제(기타),
프렌치로즈꽃가루,Rosa Gallica Flower Powder,피부컨디셔닝제(기타),1.0
천궁뿌리추출물,Cnidium Officinale Root Extract,피부컨디셔닝제(기타),
생강,Zingiber Officinale (Ginger) Root,피부컨디셔닝제(기타),1.0
고수잎/줄기오일,Coriandrum Sativum (Coriander) Leaf/Stem Oil,"착향제, 피부컨디셔닝제(기타)",
소두구씨가루,Elettaria Cardamomum Seed Powder,피부컨디셔닝제,
일리페버터,Illipe Butter,"피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",
은행나무잎세포추출물,Ginkgo Biloba Leaf Cell Extract,"감미제, 피부보호제",
꽃가루,Pollen,피부컨디셔닝제(기타),1.0
파파야열매즙,Carica Papaya (Papaya) Fruit Juice,피부컨디셔닝제,1.0
자몽수,Citrus Paradisi (Grapefruit) Fruit Water,"착향제, 피부컨디셔닝제(기타)",1.0
키토올리고당,,,
칼슘다이소듐이디티에이,Calcium Disodium EDTA,금속이온봉쇄제,1.0
칠레헤이즐오일,Gevuina Avellana Oil,피부컨디셔닝제(수분차단제),
셀러리줄기추출물,Apium Graveolens (Celery) Stem Extract,피부컨디셔닝제(보습제),
블루탄지꽃오일,Tanacetum Annuum Flower Oil,"착향제, 피부컨디셔닝제(기타)",
라즈베리씨추출물,Rubus Idaeus (Raspberry) Seed Extract,피부컨디셔닝제(기타),
웨스트오스트레일리아산달우드씨오일,Santalum Spicatum Seed Oil,피부컨디셔닝제(수분차단제),
쿠민씨오일,Cuminum Cyminum (Cumin) Seed Oil,"감미제, 착향제",2.0
튜폴리오사이드,Teupolioside,"산화방지제, 금속이온봉쇄제, 피부보호제",
퍼플루오로퍼하이드로페난트렌,Perfluoroperhydrophenanthrene,"피부컨디셔닝제, 용제",4.0
퍼플루오로메틸사이클로펜탄,Perfluoromethylcyclopentane,"피부컨디셔닝제(기타), 용제",4.0
엠이에이-라우릴설페이트,MEA-Lauryl Sulfate,계면활성제(세정제),
소듐코코일하이드롤라이즈드밀단백질,Sodium Cocoyl Hydrolyzed Wheat Protein,"모발컨디셔닝제, 피부컨디셔닝제, 계면활성제-세정제",1.0
소듐o-페닐페네이트,Sodium o-Phenylphenate,보존제,
피이지-7프로필헵틸에터,PEG-7 Propylheptyl Ether,유화안정제,1.0
라우레스-6,Laureth-6,계면활성제(유화제),3.0
C12-15파레스-12,C12-15 Pareth-12,계면활성제(유화제),1.0
하롱추출물,Harungana Madagascariensis Extract,피부컨디셔닝제(기타),1.0
치스투스 몬스펠리엔시스추출물,Cistus Monspeliensis Extract,착향제,1.0
다이메티콘/피이지-10크로스폴리머,Dimethicone/PEG-10 Crosspolymer,"피부컨디셔닝제(유연제), 계면활성제(유화제), 점도증가제(수성)",
락토바실러스/우유고형분/콩오일발효물,Lactobacillus/Milk Solids/Soybean Oil Ferment,피부컨디셔닝제(보습제),
폴록사머182,Poloxamer 182,"계면활성제(세정제), 계면활성제(용해보조제)",2.0
실버위드추출물,Potentilla Anserina Extract,피부컨디셔닝제(기타),1.0
폴리에스터-7,Polyester-7,"피막형성제, 피부컨디셔닝제(수분차단제), 점도증가제(비수성)",1.0
다이소듐테트라메틸헥사데세닐석시노일시스테인,Disodium Tetramethylhexadecenyl Succinoyl Cysteine,"환원제, 피부컨디셔닝제(기타), 표면조정제",1.0
병풀잎세포추출물,Centella Asiatica Leaf Cell Extract,"산화방지제, 피부보호제",
리놀레아미도프로필피지-다이모늄클로라이드포스페이트다이메티콘,Linoleamidopropyl PG-Dimonium Chloride Phosphate Dimethicone,헤어컨디셔닝제,1.0
해바라기오일데실에스터,Sunflower Oil Decyl Esters,피부컨디셔닝제(기타),1.0
소듐트라이데세스-4카복실레이트,Sodium Trideceth-4 Carboxylate,계면활성제(세정제),1.0
스노베리열매추출물,Symphoricarpos Albus Fruit Extract,피부컨디셔닝제(유연제),
데카펩타이드-6,Decapeptide-6,"산화방지제, 헤어컨디셔닝제, 피부보호제",
올리고펩타이드-30,Oligopeptide-30,"산화방지제, 헤어컨디셔닝제, 환원제, 피부보호제",
올리고펩타이드-31,Oligopeptide-31,"산화방지제, 헤어컨디셔닝제, 피부보호제, 피부컨디셔닝제(기타)",
밀펩타이드,Triticum Aestivum (Wheat) Peptide,"피막형성제, 헤어컨디셔닝제, 피부컨디셔닝제(기타)",
글리세릴스테아레이트/말레이트,Glyceryl Stearate/Malate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",
헥산다이올/아디페이트/시트레이트크로스폴리머,Hexanediol/Adipate/Citrate Crosspolymer,용제,
폴리에스터-26,Polyester-26,결합제,
하이드로제네이티드쌀겨오일,Hydrogenated Rice Bran Oil,"헤어컨디셔닝제, 피부컨디셔닝제(수분차단제)",1.0
피피지-17-부테스-17,PPG-17-Buteth-17,"향료, 모발컨디셔닝제, 피부컨디셔닝제, 계면활성제-유화제",1.0
아파노테케 사크룸엑소폴리사카라이즈,Aphanothece Sacrum Exopolysaccharides,"흡수제, 유화안정제, 피막형성제, 점도증가제(수성)",
알에이치-폴리펩타이드-13,rh-Polypeptide-13,피부컨디셔닝제(기타),
맥주추출물,Beer Extract,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
하이드록시프로필스타치,Hydroxypropyl Starch,"현탁화제-비계면활성제, 점증제-수용성",1.0
락토코쿠스/류코노스톡/락토바실러스/지고사카로미세스/우유발효물,Lactococcus/Leuconostoc/Lactobacillus/Zygosaccharomyces/Milk Ferment,피부보호제,
포도꽃세포추출물,Vitis Vinifera (Grape) Flower Cell Extract,"감미제, 착향제, 피부보호제",1.0
영하구기씨오일,Lycium Barbarum Seed Oil,피부컨디셔닝제(유연제),1.0
감마-도코사락톤,Gamma-Docosalactone,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
부식토추출물,Humus Extract,피부컨디셔닝제(기타),
애뉴얼버글로스추출물,Anchusa Arvensis Extract,피부컨디셔닝제(기타),1.0
파라나소나무씨추출물,Araucaria Angustifolia Seed Extract,피부컨디셔닝제(유연제),
산수국잎추출물,Hydrangea Serrata Leaf Extract,피부컨디셔닝제,1.0
한련꽃추출물,Tropaeolum Majus Flower Extract,피부컨디셔닝제(기타),
스키조사카로미세스발효추출여과물,Schizosaccharomyces Ferment Extract Filtrate,"보습제, 피부컨디셔닝제(기타)",
뱀장어껍질점액추출물,Eel Skin Mucus Extract,피부컨디셔닝제(유연제),
머위잎/줄기추출물,Petasites Japonicus Leaf/Stem Extract,피부유연화제,
하늘타리추출물,Trichosanthes Kirilowii Extract,피부컨디셔닝제(기타),
감국추출물,Chrysanthemum Indicum Extract,"산화방지제, 피부컨디셔닝제(기타),피부컨디셔닝제(보습제)",1.0
이크타몰,Ichthammol,,
팔미토일실크아미노산,Palmitoyl Silk Amino Acids,"헤어컨디셔닝제, 계면활성제(세정제)",
하이드롤라이즈드아카시아 마크로스타키아씨추출물,Hydrolyzed Acacia Macrostachya Seed Extract,피부컨디셔닝제(기타),1.0
테프로시아 푸르푸레아씨추출물,Tephrosia purpurea seed extract,피부컨디셔닝제(기타),1.0
녹두전초추출물,Phaseolus Radiatus Extract,피부컨디셔닝제(기타),1.0
레몬아스펜열매추출물,Acronychia Acidula Fruit Extract,"정전기방지제, 헤어컨디셔닝제, 피부컨디셔닝제(보습제)",1.0
다시마,,,
포타슘바이타트레이트,Potassium Bitartrate,완충화제,
미역추출물,Undaria Pinnatifida Extract,피부컨디셔닝제(기타),1.0
폴리글리세릴-4라우레이트/석시네이트,Polyglyceryl-4 Laurate/Succinate,계면활성제(유화제),
흑운모,Biotite;Black Mica,"벌킹제(증량제), 분산제(비계면활성제)",
적색205호,Lithol Red;CI 15630,착색제,
포타슘하이알루로네이트,Potassium Hyaluronate,피부컨디셔닝제(기타),1.0
올리고펩타이드-107에스에이치-폴리펩타이드-7,Oligopeptide-107 sh-Polypeptide-7,피부컨디셔닝제(기타),
파인껍질추출물,Pinus Pumilio Bark Extract,피부컨디셔닝제(기타),1.0
좀회양목잎추출물,Buxus Sempervirens Leaf Extract,피부컨디셔닝제(기타),
담배잎추출물,Nicotiana Tabacum (Tobacco) Leaf Extract,착향제,
다이리놀레익애씨드/프로판다이올코폴리머,Dilinoleic Acid/Propanediol Copolymer,"피막형성제, 가소제, 피부컨디셔닝제(유연제), 점도증가제(비수성)",
포타슘운데실레노일하이드롤라이즈드콩단백질,Potassium Undecylenoyl Hydrolyzed Soy Protein,"유화안정제, 헤어컨디셔닝제, 피부컨디셔닝제(기타)",1.0
다이소듐운데실렌아미도엠이에이-설포석시네이트,Disodium Undecylenamido MEA-Sulfosuccinate,"계면활성제(세정제), 계면활성제(거품촉진제), 계면활성제(친수제)",1.0
완두싹추출물,Pisum Sativum (Pea) Sprout Extract,피부컨디셔닝제(기타),
마그네슘피이지-3코카마이드설페이트,Magnesium PEG-3 Cocamide Sulfate,계면활성제(유화제),
포타슘아비에토일하이드롤라이즈드콩단백질,Potassium Abietoyl Hydrolyzed Soy Protein,피부컨디셔닝제(기타),1.0
소듐카복시메틸올레일폴리프로필아민,Sodium Carboxymethyl Oleyl Polypropylamine,정전기방지제,
포타슘코코일하이드롤라이즈드귀리단백질,Potassium Cocoyl Hydrolyzed Oat Protein,"헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(세정제)",1.0
포도주,Wine,피부컨디셔닝제(기타),1.0
퀼라자뿌리추출물,Quillaja Saponaria Root Extract,"착향제, 피부컨디셔닝제(기타)",
폴리글리세릴-3라우레이트,Polyglyceryl-3 Laurate,"피부유연화제, 계면활성제-유화제",1.0
람부탄껍질추출물,Nephelium Lappaceum Peel Extract,피부컨디셔닝제(기타),1.0
피이지-180M,PEG-180M,"결합제, 유화안정제, 점도증가제(수성)",
바닐라잎세포추출물,Vanilla Planifolia Leaf Cell Extract,"산화방지제, 피부보호제",
하이드롤라이즈드곤약뿌리,Hydrolyzed Amorphophallus Konjac Root,피부컨디셔닝제(보습제),
칼란코에 가스토니스-본니에리잎추출물,Kalanchoe Gastonis-Bonnieri Leaf Extract,"산화방지제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",
하이드롤라이즈드베타-글루칸,Hydrolyzed Beta-Glucan,피부컨디셔닝제(기타),
폴리우레탄-16,Polyurethane-16,"안티케이킹제, 유화안정제, 피막형성제, 미끄럼조정제/활택제, 표면조정제",
부틸락테이트,Butyl Lactate,"착향제, 용제",
세테스-1,Ceteth-1,계면활성제(유화제),3.0
곰솔가지/잎추출물,Pinus Thunbergii Branch/Leaf Extract,피부보호제,
미로탐누스 플라벨리폴리아추출물,Myrothamnus Flabellifolia Extract,보습제,1.0
코발트티타늄옥사이드,Cobalt Titanium Oxide,,3.0
양까막까치밥나무씨추출물,Ribes Nigrum (Black Currant) Seed Extract,"피부컨디셔닝제(유연제), 피부컨디셔닝제(보습제)",1.0
실리콘쿼터늄-2판테놀석시네이트,Silicone Quaternium-2 Panthenol Succinate,"정전기방지제, 헤어컨디셔닝제",1.0
스피어민트허브오일,Mentha Spicata Herb Oil,착향제,
맥주,Beer,헤어컨디셔닝제,1.0
아젤라오일옥타펩타이드-9,Azelaoyl Octapeptide-9,피부보호제,
알에이치-올리고펩타이드-33,rh-Oligopeptide-33,피부보호제,
레몬씨오일,Citrus Limon (Lemon) Seed Oil,"착향제, 피부컨디셔닝제(기타)",1.0
알에이치-폴리펩타이드-22,rh-Polypeptide-22,피부컨디셔닝제(기타),
소듐트라이메틸펜텐/엠에이코폴리머,Sodium Trimethylpentene/MA Copolymer,점도증가제(수성),
타라열매추출물,Caesalpinia Spinosa Fruit Extract,"피부보호제, 피부컨디셔닝제(기타)",1.0
트레블러스조이잎추출물,Clematis Vitalba Leaf Extract,피부컨디셔닝제(기타),
가죽나무추출물,Ailanthus Altissima Bark Extract,피부컨디셔닝제(기타),
악어오일,Crocodile Oil,피부컨디셔닝제(유연제),
아이소데실올리에이트,Isodecyl Oleate,피부컨디셔닝제(유연제),1.0
레몬그라스추출물,Cymbopogon Citratus Extract,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
폴리퍼플루오로에톡시메톡시다이플루오로메틸다이스테아라마이드,Polyperfluoroethoxymethoxy Difluoromethyl Distearamide,"피부컨디셔닝제(기타), 점도증가제(비수성)",
네오헤스페리딘다이하이드로칼콘,Neohesperidin Dihydrochalcone,"감미제, 착향제",1.0
비스-하이드록시라우릴다이메티콘/아이피디아이코폴리머,Bis-Hydroxylauryl Dimethicone/IPDI Copolymer,"결합제, 피막형성제, 보습제, 피부컨디셔닝제(보습제), 피부컨디셔닝제(기타), 점도증가제(비수성)",
수크로오스헥사올리에이트/헥사팔미테이트/헥사스테아레이트,Sucrose Hexaoleate/Hexapalmitate/Hexastearate,계면활성제(유화제),
수용성콜라겐크로스폴리머,Soluble Collagen Crosspolymer,피부컨디셔닝제(유연제),
박태기나무꽃/잎/줄기추출물,Cercis Chinensis Flower/Leaf/Stem Extract,"산화방지제, 보습제, 피부컨디셔닝제(기타)",
조구등추출물,Uncaria Sinensis Extract,피부컨디셔닝제,
개오동나무껍질/잎추출물,Catalpa Ovata Bark/Leaf Extract,피부컨디셔닝제(기타),
토마토,Solanum Lycopersicum (Tomato) Fruit,"보습제, 피부컨디셔닝제(유연제)",
글리세레스-7트라이아세테이트,Glycereth-7 Triacetate,"피부컨디셔닝제(유연제), 용제",
세드랏열매추출물,Citrus Medica Vulgaris Fruit Extract,"산화방지제, 금속이온봉쇄제",
벤질피씨에이,Benzyl PCA,보습제,1.0
소듐메틸올레오일타우레이트,Sodium Methyl Oleoyl Taurate,계면활성제(세정제),
옐로우체이스트위드꽃추출물,Helichrysum Arenarium Flower Extract,피부컨디셔닝제(기타),
에스에이치-폴리펩타이드-3,sh-Polypeptide-3,피부컨디셔닝제(기타),
사과나무잎추출물,Pyrus Malus (Apple) Leaf Extract,피부컨디셔닝제(기타),1.0
블랙손열매즙,Prunus Spinosa Fruit Juice,"수렴제, 감미제",
폴리쿼터늄-29,Polyquaternium-29,"정전기방지제, 피막형성제, 모발고정제",
2-메틸레조시놀,2-Methylresorcinol,염모제,4.0
피이지-8다이코코에이트,PEG-8 Dicocoate,계면활성제(유화제),3.0
피이지-2라우레이트,PEG-2 Laurate,계면활성제-유화제,4.0
아스퍼질러스/동백나무씨발효추출여과물,Aspergillus/Camellia Japonica Seed Ferment Extract Filtrate,피부컨디셔닝제(기타),
피이지-50시어버터,PEG-50 Shea Butter,계면활성제(유화제),3.0
멜라토닌,Melatonin,산화방지제,1.0
라벤더꽃오일,Lavandula Angustifolia (Lavender) Flower Oil;Lavandula Spica (Lavender) Flower Oil,착향제,
족도리풀,,,
중국토복령추출물,Smilax Glabra Root Extract,피부컨디셔닝제(기타),
밀싹가루,,,
콰크치즈가루,Quark Cheese Powder,피부컨디셔닝제,
수세미오이가루,Luffa Cylindrica Fruit Powder,연마제,
에이엠피-아크릴레이트/C1-18알킬아크릴레이트/C1-8알킬아크릴아마이드/하이드록시에틸아크릴레이트코폴리머,AMP-Acrylates/C1-18 Alkyl Acrylate/C1-8 Alkyl Acrylamide/Hydroxyethylacrylate Copolymer,"피막형성제, 모발고정제",
싸리나무껍질추출물,Lespedeza Bicolor Bark Extract,피부컨디셔닝제(보습제),
루모라고사리잎,,,
씀바귀추출물,,,
아파노테케 사크룸폴리사카라이드,Aphanothece Sacrum Polysaccharides,"흡수제, 유화안정제, 피막형성제, 점도증가제(수성)",
락토바실러스/병풀추출발효여과물,Lactobacillus/Centella Asiatica Extract Ferment Filtrate,피부컨디셔닝제(기타),
멀꿀추출물,Stauntonia Hexaphylla Extract,피부보호제,
개양귀비꽃추출물,Papaver Rhoeas Flower Extract,피부컨디셔닝제(기타),1.0
털민들레추출물,Taraxacum Mongolicum Extract,"산화방지제, 피부컨디셔닝제(기타)",
인디고잎가루,Indigofera Tinctoria Leaf Powder,피부컨디셔닝제(기타),1.0
라디아타유카리잎오일,Eucalyptus Radiata Leaf Oil,착향제,
마트리카리아오일,Chamomilla Recutita (Matricaria) Oil,착향제,2.0
소듐실리코알루미네이트,Sodium Silicoaluminate,"스크럽제, 점증제-수용성",1.0
소듐라우레스-7설페이트,Sodium Laureth-7 Sulfate,계면활성제-세정제,
다이아미노프로피오노일트라이펩타이드-33,Diaminopropionoyl Tripeptide-33,피부컨디셔닝제(기타),1.0
회향수,Foeniculum Vulgare (Fennel) Water,착향제,
얼룩파인애플수,Ananas Sativus (Pineapple) Fruit Water,피부컨디셔닝제(기타),
소듐카프로일메틸타우레이트,Sodium Caproyl Methyltaurate,계면활성제(세정제),1.0
유자오일,Citrus Junos Fruit Oil,착향제,1.0
하이드롤라이즈드납작파래,Hydrolyzed Enteromorpha Compressa,,
라네시아나벚나무꽃추출물,Prunus Lannesiana Flower Extract,피부컨디셔닝제(기타),
메틸사이클로덱스트린,Methyl Cyclodextrin,금속이온봉쇄제,1.0
박추출물,Cucurbitaceae (Gourd) Extract,피부컨디셔닝제(기타),
슈도지마 에피콜라/녹차씨오일/글루코오스/맥아추출물/콩가루/효모추출물발효여과물,Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Malt Extract/Soybean Flour/Yeast Extract Ferment Filtrate,"유화안정제, 헤어컨디셔닝제, 피부컨디셔닝제(보습제), 피부컨디셔닝제(기타)",
[배합금지] 빈랑나무씨/클로브줄기추출물,Areca Catechu Seed/Eugenia Caryophyllus (Clove) Stem Extract,피부컨디셔닝제(기타),
해마추출물,Seahorse Extract,피부컨디셔닝제(기타),
카복실릭애씨드,Carboxylic Acid,,1.0
옥소티아졸리딘,Oxothiazolidine,피부보호제,
