ko_ingredient,en_ingredient,use,score
수세미오이씨오일,Luffa Cylindrica Seed Oil,피부컨디셔닝제(수분차단제),
비에이치티,BHT,"산화방지제, 착향제",3.0
바닐린,Vanillin,"감미제, 착향제",1.0
프로필갈레이트,Propyl Gallate,"산화방지제, 향료",3.0
하이드로제네이티드폴리아이소부텐,Hydrogenated Polyisobutene,"피부컨디셔닝제(유연제), 점도증가제(비수성)",1.0
하이드로제네이티드스타이렌/메틸스타이렌/인덴코폴리머,Hydrogenated Styrene/Methylstyrene/Indene Copolymer,점도증가제(비수성),
트라이메틸펜타페닐트라이실록세인,Trimethyl Pentaphenyl Trisiloxane,피부컨디셔닝제(유연제),1.0
트라이메틸올프로판트라이아이소스테아레이트,Trimethylolpropane Triisostearate,피부컨디셔닝제(수분차단제),1.0
트라이하이드록시스테아린,Trihydroxystearin,"피부컨디셔닝제(수분차단제), 점도증가제(비수성)",1.0
적색228호,Permaton Red;CI 12085,착색제,
청색1호,Brilliant Blue FCF;CI 42090,착색제,
적색103호의(1),Eosine YS;CI 45380,착색제,
적색226호,Helindone Pink CN;CI 73360,착색제,
망가니즈바이올렛,Manganese Violet;Ammonium Manganese(3+) Diphosphate;CI 77742,착색제,
다이카프릴릴카보네이트,Dicaprylyl Carbonate,피부컨디셔닝제(유연제),1.0
옥틸도데실네오펜타노에이트,Octyldodecyl Neopentanoate,피부유연화제,1.0
폴리메틸실세스퀴옥세인,Polymethylsilsesquioxane,불투명화제,1.0
펜타에리스리틸테트라아이소스테아레이트,Pentaerythrityl Tetraisostearate,"결합제, 피부컨디셔닝제(수분차단제), 점도증가제(비수성)",1.0
페닐트라이메티콘,Phenyl Trimethicone,"기포방지제, 모발컨디셔닝제, 수분증발차단제",1.0
야자씨버터,Astrocaryum Murumuru Seed Butter,피부컨디셔닝제(유연제),1.0
아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머,Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer,피막형성제,
카프릴릭/카프릭/미리스틱/스테아릭트라이글리세라이드,Caprylic/Capric/Myristic/Stearic Triglyceride,피부컨디셔닝제(수분차단제),
다이스테아다이모늄헥토라이트,Disteardimonium Hectorite,현탁화제-비계면활성제,1.0
폴리하이드록시스테아릭애씨드,Polyhydroxystearic Acid,현탁화제-비계면활성제,1.0
프로필렌카보네이트,Propylene Carbonate,"용제, 점도감소제",1.0
트라이에톡시카프릴릴실레인,Triethoxycaprylylsilane,결합제,1.0
팔미토일올리고펩타이드,Palmitoyl Oligopeptide,"피부컨디셔닝제(기타), 계면활성제(세정제)",1.0
황색203호,Quinoline Yellow WS;CI 47005,착색제,
펜타에리스리틸아디페이트/카프레이트/카프릴레이트/헵타노에이트,Pentaerythrityl Adipate/Caprate/Caprylate/Heptanoate,"수분증발차단제, 점증제-비수용성",
옥틸도데실스테아레이트,Octyldodecyl Stearate,수분증발차단제,1.0
피이지-45/도데실글라이콜코폴리머,PEG-45/Dodecyl Glycol Copolymer,"유화안정제, 피부유연화제",
하이드로제네이티드캐스터오일다이머다이리놀레에이트,Hydrogenated Castor Oil Dimer Dilinoleate,"결합제, 헤어컨디셔닝제, 피부보호제, 피부컨디셔닝제(기타)",1.0
칼슘알루미늄보로실리케이트,Calcium Aluminum Borosilicate,벌킹제,2.0
칼슘소듐보로실리케이트,Calcium Sodium Borosilicate,벌킹제,2.0
알루미나,Alumina,"스크럽제, 흡수제, 안티케이킹제, 벌킹제, 불투명화제",2.0
마그네슘실리케이트,Magnesium Silicate,"흡수제, 안티케이킹제, 벌킹제(증량제), 미끄럼조정제/활택제, 점도증가제(수성)",1.0
하이드록시팔미토일스핑가닌,Hydroxypalmitoyl Sphinganine,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",1.0
하이드록시프로필테트라하이드로피란트라이올,Hydroxypropyl Tetrahydropyrantriol,피부컨디셔닝제(기타),1.0
폴리에스터-3,Polyester-3,피막형성제,
메틸2-옥티노에이트,Methyl 2-Octynoate,착향제,4.0
하이드록시시트로넬알,Hydroxycitronellal,착향제,6.0
시트로넬올,Citronellol,착향제,4.0
헥실신남알,Hexyl Cinnamal,착향제,3.0
벤질알코올,Benzyl Alcohol,"착향제, 보존제, 용제, 점도감소제",6.0
프로필렌글라이콜다이벤조에이트,Propylene Glycol Dibenzoate,피부컨디셔닝제(유연제),
칸데릴라왁스,Euphorbia Cerifera (Candelilla) Wax;Candelilla Cera,"수렴제, 유화안정제, 피막형성제, 착향제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제), 점도증가제(비수성)",
아이소프로필미리스테이트,Isopropyl Myristate,"결합제, 착향제, 피부컨디셔닝제(유연제)",1.0
올리브오일,Olea Europaea (Olive) Fruit Oil,착향제 피부컨디셔닝제(수분차단제),
호호바씨오일,Simmondsia Chinensis (Jojoba) Seed Oil,"헤어컨디셔닝제, 피부컨디셔닝제(수분차단제)",1.0
페트롤라툼,Petrolatum,"모발컨디셔닝제, 수분증발차단제, 피부보호제",4.0
레티닐팔미테이트,Retinyl Palmitate,피부컨디셔닝제(기타),
아스코빌팔미테이트,Ascorbyl Palmitate,"산화방지제, 향료",
콜레스테롤,Cholesterol,"유화안정제, 피부컨디셔닝제, 점증제-비수용성",1.0
밀배아오일,Triticum Vulgare (Wheat) Germ Oil,수분증발차단제,1.0
아보카도오일불검화물,Persea Gratissima (Avocado) Oil Unsaponifiables,"모발컨디셔닝제, 피부컨디셔닝제",1.0
스테아릴글리시레티네이트,Stearyl Glycyrrhetinate,감미제,1.0
하이드로제네이티드다이리놀레일알코올,Hydrogenated Dilinoleyl Alcohol,피부컨디셔닝제(유연제),1.0
스테아록시다이메티콘,Stearoxy Dimethicone,피부컨디셔닝제(유연제),
라우릴피씨에이,Lauryl PCA,피부컨디셔닝제(기타),1.0
C20-40파레스-10,C20-40 Pareth-10,계면활성제-유화제,1.0
폴리글리세릴-4아이소스테아레이트,Polyglyceryl-4 Isostearate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",1.0
세틸피이지/피피지-10/1다이메티콘,Cetyl PEG/PPG-10/1 Dimethicone,"피부컨디셔닝제(기타), 계면활성제(유화제)",
바륨설페이트,Barium Sulfate;CI 77120,불투명화제,
하이드록시에틸셀룰로오스,Hydroxyethylcellulose,"결합제, 유화안정제, 피막형성제, 점도증가제(수성)",1.0
메틸글루코오스세스퀴스테아레이트,Methyl Glucose Sesquistearate,피부컨디셔닝제(유연제),1.0
에틸셀룰로오스,Ethylcellulose,"결합제, 피막형성제, 착향제, 점도증가제(수성)",1.0
헥실라우레이트,Hexyl Laurate,피부컨디셔닝제(유연제),1.0
올레익애씨드,Oleic Acid,"향료, 계면활성제-세정제",1.0
테트라헥실데실아스코베이트,Tetrahexyldecyl Ascorbate,"산화방지제, 피부컨디셔닝제",1.0
파라핀,Paraffin,"향료, 수분증발차단제, 점증제-비수용성",1.0
아이소도데케인,Isododecane,"착향제, 용제",1.0
폴리아이소프렌,Polyisoprene,점도증가제(비수성),1.0
펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate,산화방지제,1.0
다이칼슘포스페이트,Dicalcium Phosphate,연마제,1.0
토코페릴리놀리에이트,Tocopheryl Linoleate,"산화방지제, 피부컨디셔닝제",1.0
알파-아이소메틸아이오논,Alpha-Isomethyl Ionone,"착향제, 피부컨디셔닝제(기타)",5.0
다이글리세릴세바케이트/아이소팔미테이트,Diglyceryl Sebacate/Isopalmitate,피부컨디셔닝제(유연제),
아이소노닐아이소노나노에이트,Isononyl Isononanoate,"피부컨디셔닝제(유연제), 용제",1.0
브이피/헥사데센코폴리머,VP/Hexadecene Copolymer,"결합제, 피막형성제, 모발고정제, 현탁화제-비계면활성제, 점증제-비수용성",
비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,점도증가제(비수성),
피토스테릴마카다미에이트,Phytosteryl Macadamiate,"결합제, 모발컨디셔닝제, 피부유연화제, 수분증발차단제, 점증제-비수용성",1.0
이소아밀p-메톡시신나메이트,Isoamyl p-Methoxycinnamate,자외선차단제,1.0
에이치디아이/트라이메틸올헥실락톤크로스폴리머,HDI/Trimethylol Hexyllactone Crosspolymer,안티케이킹제,
하이드롤라이즈드콜라겐,Hydrolyzed Collagen,"헤어컨디셔닝제, 네일컨디셔닝제, 피부컨디셔닝제",1.0
글리세릴카프릴레이트,Glyceryl Caprylate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",1.0
다이트라이메틸롤프로판아이소스테아레이트/세바케이트,Ditrimethylolpropane Isostearate/Sebacate,"결합제, 피부컨디셔닝제(유연제), 용제",
고추추출물,Capsicum Annuum Extract,"착향제, 피부컨디셔닝제(기타)",
스위트아몬드추출물,Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract,피부컨디셔닝제(기타),1.0
꿀추출물,Honey Extract,"피부컨디셔닝제(보습제), 피부컨디셔닝제(기타)",1.0
페퍼민트오일,Mentha Piperita (Peppermint) Oil,"향료, 피부컨디셔닝제",4.0
생강오일,Zingiber Officinale (Ginger) Root Oil,"감미제, 향료, 피부컨디셔닝제(기타)",1.0
토마토오일,Solanum Lycopersicum (Tomato) Fruit Oil,수분증발차단제,1.0
멘틸락테이트,Menthyl Lactate,"감미제, 향료",1.0
바닐릴부틸에터,Vanillyl Butyl Ether,"착향제, 헤어컨디셔닝제, 피부컨디셔닝제(기타)",1.0
메틸니코티네이트,Methyl Nicotinate,"착향제, 피부컨디셔닝제(기타)",1.0
소듐메틸파라벤,Sodium Methylparaben,보존제,
소듐프로필파라벤,Sodium Propylparaben,보존제,
소듐에틸파라벤,Sodium Ethylparaben,"피부컨디셔닝제(보습제), 보존제",
아보카도오일,Persea Gratissima (Avocado) Oil,피부컨디셔닝제(수분차단제),1.0
트라이에탄올아민,Triethanolamine,"착향제, 계면활성제(유화제), pH 조정제",5.0
폴리솔베이트20,Polysorbate 20,"착향제, 계면활성제(유화제), 계면활성제(용해보조제)",
네오펜틸글라이콜다이에틸헥사노에이트,Neopentyl Glycol Diethylhexanoate,"피부컨디셔닝제(유연제), 점도증가제(비수성)",1.0
하이드로제네이티드에틸렌/프로필렌/스타이렌코폴리머,Hydrogenated Ethylene/Propylene/Styrene Copolymer,점도증가제(비수성),
하이드로제네이티드부틸렌/에틸렌/스타이렌코폴리머,Hydrogenated Butylene/Ethylene/Styrene Copolymer,점도증가제(비수성),
미네랄오일,Mineral Oil;Paraffinum Liquidum,"착향제, 헤어컨디셔닝제, 피부보호제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(수분차단제), 용제",
하이드록시스테아릭애씨드,Hydroxystearic Acid,계면활성제-세정제,1.0
포도씨오일,Vitis Vinifera (Grape) Seed Oil,피부컨디셔닝제,1.0
C12-15알킬에틸헥사노에이트,C12-15 Alkyl Ethylhexanoate,피부컨디셔닝제(유연제),1.0
솔비탄세스퀴올리에이트,Sorbitan Sesquioleate,계면활성제(유화제),1.0
세라마이드엔피,Ceramide NP,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",1.0
폴리아이소부텐,Polyisobutene,"결합제, 피막형성제, 점도증가제(비수성)",1.0
알로에베라잎추출물,Aloe Barbadensis Leaf Extract;Aloe Vera Leaf Extract,"보습제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타), 산화방지제, 피부컨디셔닝제(보습제)",
쿠쿠이나무씨오일,Aleurites Moluccanus Seed Oil,"피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",
돌콩오일,Glycine Soja (Soybean) Oil,"산화방지제, 착향제, 피부컨디셔닝제(수분차단제)",1.0
올레일알코올,Oleyl Alcohol,"향료, 피부유연화제, 용제, 점증제-비수용성",1.0
C16-18하이드록시알킬하이드록시다이머다이리놀레일에터,C16-18 Hydroxyalkyl Hydroxydimerdilinoleyl Ether,피부컨디셔닝제(유연제),
수크로오스테트라아이소스테아레이트,Sucrose Tetraisostearate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",1.0
